Термин,Перевод,Пояснение
addend,слагаемое,
plus,плюс,
equals,равно,
summ,сумма,
add,прибавить,
minuend,уменьшаемое,
minus,минус,
substractend,вычитаемое,
difference,разница,
substract,вычитать,
multiplication,умножение,
multiply,умножить,
times,раз/на,два на два
factor,множитель,
product,произведение,
division,деление,
divide,делить,
divided by,разделенное на,
divided,делимое,
divisor,делитель,
quotient,частное,
numerator,числительное,
denumerator,знаменатель,
exponentiation,возведение в степень,
power,степень,
squared,в квадрате,
cubed,в кубе,
raise to,возвести в,
base,возуодимое,
exponent,показатель степени,
